"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"603231.SH","732231","索宝蛋白",2023-12-04,2023-12-15,4786,3829,21.29,26.74,1.9,10.19,0.04
"301459.SZ","301459","丰茂股份",2023-12-04,2023-12-13,2000,970,31.9,28.27,0.55,6.38,0.02
"836547.BJ","889028","无锡晶海",2023-11-30,2023-12-12,1794,1248,16.53,15.88,74.1,2.965,0.18
"001239.SZ","001239","永达股份",2023-11-30,2023-12-12,6000,3872,12.05,35.64,1.9,7.23,0.04
"301516.SZ","301516","中远通",2023-11-29,2023-12-08,7018,3096,6.87,20.53,1.75,4.821,0.03
"688720.SH","787720","艾森股份",2023-11-27,2023-12-06,2203,706,28.03,171.51,0.5,6.176,0.04
"873703.BJ","889788","广厦环能",2023-11-24,2023-12-05,1725,1200,23.45,14.42,71.25,4.045,0.25
"601083.SH","780083","锦江航运",2023-11-24,2023-12-05,19412,13588,11.25,8.24,5.8,21.838,0.1
"835579.BJ","889579","机科股份",2023-11-22,2023-11-30,3588,2496,8,20.28,148.2,2.87,0.2
"301508.SZ","301508","中机认检",2023-11-21,2023-12-01,5652,2261,16.82,37.39,1.35,9.507,0.03
"688652.SH","787652","京仪装备",2023-11-20,2023-11-29,4200,1600,31.95,65.44,1.15,13.419,0.05
"301568.SZ","301568","思泰克",2023-11-17,2023-11-28,2582,1252,23.23,22.03,0.7,5.998,0.03
"873570.BJ","889669","坤博精工",2023-11-15,2023-11-23,903,628,19.48,19.2,37.28,1.759,0.17
"688653.SH","787653","康希通信",2023-11-08,2023-11-17,6368,1629,10.5,441.18,1.05,6.686,0.05
"001306.SZ","001306","夏厦精密",2023-11-07,2023-11-16,1550,1240,53.63,44.89,0.6,8.313,0.03
"873132.BJ","889878","泰鹏智能",2023-11-06,2023-11-16,1380,960,8.8,11.77,57,1.214,0.14
"688648.SH","787648","中邮科技",2023-11-02,2023-11-13,3400,1224,15.18,28.94,0.9,5.161,0.05
"832522.BJ","889178","纳科诺尔",2023-11-01,2023-11-16,2300,1600,15,12.92,95,3.45,0.51
"873833.BJ","889898","美心翼申",2023-10-30,2023-11-08,1380,960,10,16.33,57,1.38,1.87
"001326.SZ","001326","联域股份",2023-10-30,2023-11-09,1830,1464,41.18,22.63,0.7,7.536,0.03
"873679.BJ","889899","前进科技",2023-10-27,2023-11-10,1547,1077,13.99,15.63,63.89,2.164,2.03
"603062.SH","732062","麦加芯彩",2023-10-27,2023-11-07,2700,2160,58.08,26.28,1.05,15.682,0.05
"833030.BJ","889188","立方控股",2023-10-25,2023-11-02,1668,1160,7.69,16.38,68.87,1.282,0.56
"001376.SZ","001376","百通能源",2023-10-25,2023-11-03,4609,4148,4.56,20.99,1.35,2.102,0.05
"603107.SH","732107","上海汽配",2023-10-23,2023-11-01,8434,6747,14.23,38.75,3.35,12.001,0.07
"839493.BJ","889493","并行科技",2023-10-20,2023-11-01,1150,800,29,0,47.5,3.335,1.12
